"date","city","province","total"
2020-02-25,"chungnam","chungcheong",1
2020-02-25,"daegu","gyeongsang",60
2020-02-25,"daejeon","chungcheong",0
2020-02-25,"gangwon","gangwon",0
2020-02-25,"gwangju","jeolla",0
2020-02-25,"gyeongbuk","gyeongsang",56
2020-02-25,"gyeonggi","gyeonggi",7
2020-02-25,"gyeongnam","gyeongsang",3
2020-02-25,"incheon","gyeonggi",0
2020-02-25,"jeju","jeolla",0
2020-02-25,"jeonbuk","jeolla",0
2020-02-25,"jeonnam","jeolla",0
2020-02-25,"quarantine_station",NA,0
2020-02-25,"sejong","chungcheong",0
2020-02-25,"seoul","gyeonggi",6
2020-02-25,"ulsan","gyeongsang",1
2020-02-26,"busan","gyeongsang",16
2020-02-26,"chungbuk","chungcheong",0
2020-02-26,"chungnam","chungcheong",1
2020-02-26,"daegu","gyeongsang",167
2020-02-26,"daejeon","chungcheong",2
2020-02-26,"gangwon","gangwon",0
2020-02-26,"gwangju","jeolla",0
2020-02-26,"gyeongbuk","gyeongsang",68
2020-02-26,"gyeonggi","gyeonggi",9
2020-02-26,"gyeongnam","gyeongsang",11
2020-02-26,"incheon","gyeonggi",1
2020-02-26,"jeju","jeolla",0
2020-02-26,"jeonbuk","jeolla",0
2020-02-26,"jeonnam","jeolla",0
2020-02-26,"quarantine_station",NA,0
2020-02-26,"sejong","chungcheong",0
2020-02-26,"seoul","gyeonggi",8
2020-02-26,"ulsan","gyeongsang",1
2020-02-27,"busan","gyeongsang",3
2020-02-27,"chungbuk","chungcheong",3
2020-02-27,"chungnam","chungcheong",9
2020-02-27,"daegu","gyeongsang",422
2020-02-27,"daejeon","chungcheong",4
2020-02-27,"gangwon","gangwon",0
2020-02-27,"gwangju","jeolla",0
2020-02-27,"gyeongbuk","gyeongsang",28
2020-02-27,"gyeonggi","gyeonggi",11
2020-02-27,"gyeongnam","gyeongsang",9
2020-02-27,"incheon","gyeonggi",0
2020-02-27,"jeju","jeolla",0
2020-02-27,"jeonbuk","jeolla",2
2020-02-27,"jeonnam","jeolla",0
2020-02-27,"quarantine_station",NA,0
2020-02-27,"sejong","chungcheong",0
2020-02-27,"seoul","gyeonggi",7
2020-02-27,"ulsan","gyeongsang",5
2020-02-28,"busan","gyeongsang",4
2020-02-28,"chungbuk","chungcheong",1
2020-02-28,"chungnam","chungcheong",23
2020-02-28,"daegu","gyeongsang",447
2020-02-28,"daejeon","chungcheong",5
2020-02-28,"gangwon","gangwon",1
2020-02-28,"gwangju","jeolla",0
2020-02-28,"gyeongbuk","gyeongsang",64
2020-02-28,"gyeonggi","gyeonggi",10
2020-02-28,"gyeongnam","gyeongsang",6
2020-02-28,"incheon","gyeonggi",1
2020-02-28,"jeju","jeolla",0
2020-02-28,"jeonbuk","jeolla",0
2020-02-28,"jeonnam","jeolla",0
2020-02-28,"quarantine_station",NA,0
2020-02-28,"sejong","chungcheong",0
2020-02-28,"seoul","gyeonggi",6
2020-02-28,"ulsan","gyeongsang",3
2020-02-29,"busan","gyeongsang",15
2020-02-29,"chungbuk","chungcheong",1
2020-02-29,"chungnam","chungcheong",20
2020-02-29,"daegu","gyeongsang",657
2020-02-29,"daejeon","chungcheong",0
2020-02-29,"gangwon","gangwon",0
2020-02-29,"gwangju","jeolla",0
2020-02-29,"gyeongbuk","gyeongsang",79
2020-02-29,"gyeonggi","gyeonggi",10
2020-02-29,"gyeongnam","gyeongsang",10
2020-02-29,"incheon","gyeonggi",2
2020-02-29,"jeju","jeolla",0
2020-02-29,"jeonbuk","jeolla",0
2020-02-29,"jeonnam","jeolla",2
2020-02-29,"quarantine_station",NA,0
2020-02-29,"sejong","chungcheong",0
2020-02-29,"seoul","gyeonggi",15
2020-02-29,"ulsan","gyeongsang",3
2020-03-01,"busan","gyeongsang",8
2020-03-01,"chungbuk","chungcheong",1
2020-03-01,"chungnam","chungcheong",23
2020-03-01,"daegu","gyeongsang",846
2020-03-01,"daejeon","chungcheong",1
2020-03-01,"gangwon","gangwon",12
2020-03-01,"gwangju","jeolla",0
2020-03-01,"gyeongbuk","gyeongsang",135
2020-03-01,"gyeonggi","gyeonggi",10
2020-03-01,"gyeongnam","gyeongsang",5
2020-03-01,"incheon","gyeonggi",1
2020-03-01,"jeju","jeolla",0
2020-03-01,"jeonbuk","jeolla",1
2020-03-01,"jeonnam","jeolla",2
2020-03-01,"quarantine_station",NA,0
2020-03-01,"sejong","chungcheong",0
2020-03-01,"seoul","gyeonggi",14
2020-03-01,"ulsan","gyeongsang",3
2020-03-02,"busan","gyeongsang",2
2020-03-02,"chungbuk","chungcheong",1
2020-03-02,"chungnam","chungcheong",3
2020-03-02,"daegu","gyeongsang",519
2020-03-02,"daejeon","chungcheong",0
2020-03-02,"gangwon","gangwon",1
2020-03-02,"gwangju","jeolla",2
2020-03-02,"gyeongbuk","gyeongsang",61
2020-03-02,"gyeonggi","gyeonggi",2
2020-03-02,"gyeongnam","gyeongsang",0
2020-03-02,"incheon","gyeonggi",0
2020-03-02,"jeju","jeolla",1
2020-03-02,"jeonbuk","jeolla",1
2020-03-02,"jeonnam","jeolla",0
2020-03-02,"quarantine_station",NA,0
2020-03-02,"sejong","chungcheong",0
2020-03-02,"seoul","gyeonggi",7
2020-03-02,"ulsan","gyeongsang",0
2020-03-03,"busan","gyeongsang",3
2020-03-03,"chungbuk","chungcheong",0
2020-03-03,"chungnam","chungcheong",1
2020-03-03,"daegu","gyeongsang",405
2020-03-03,"daejeon","chungcheong",1
2020-03-03,"gangwon","gangwon",1
2020-03-03,"gwangju","jeolla",2
2020-03-03,"gyeongbuk","gyeongsang",89
2020-03-03,"gyeonggi","gyeonggi",7
2020-03-03,"gyeongnam","gyeongsang",1
2020-03-03,"incheon","gyeonggi",2
2020-03-03,"jeju","jeolla",0
2020-03-03,"jeonbuk","jeolla",0
2020-03-03,"jeonnam","jeolla",0
2020-03-03,"quarantine_station",NA,0
2020-03-03,"sejong","chungcheong",0
2020-03-03,"seoul","gyeonggi",1
2020-03-03,"ulsan","gyeongsang",3
2020-03-04,"busan","gyeongsang",0
2020-03-04,"chungbuk","chungcheong",1
2020-03-04,"chungnam","chungcheong",4
2020-03-04,"daegu","gyeongsang",320
2020-03-04,"daejeon","chungcheong",1
2020-03-04,"gangwon","gangwon",2
2020-03-04,"gwangju","jeolla",1
2020-03-04,"gyeongbuk","gyeongsang",87
2020-03-04,"gyeonggi","gyeonggi",9
2020-03-04,"gyeongnam","gyeongsang",9
2020-03-04,"incheon","gyeonggi",0
2020-03-04,"jeju","jeolla",1
2020-03-04,"jeonbuk","jeolla",0
2020-03-04,"jeonnam","jeolla",0
2020-03-04,"quarantine_station",NA,0
2020-03-04,"sejong","chungcheong",0
2020-03-04,"seoul","gyeonggi",4
2020-03-04,"ulsan","gyeongsang",0
2020-03-05,"busan","gyeongsang",3
