"date","region","Qom","Tehran","Mazandaran","Alborz","Semnan","Golestan","Qazvin","Esfahan","Fars","Hormozgan","Kohgiluyeh and Buyer Ahmad","Chahar Mahall and Bakhtiari","Bushehr","Gilan","Ardebil","East Azarbaijan","West Azarbaijan","Kordestan","Zanjan","Markazi","Hamadan","Khuzestan","Kermanshah","Lorestan","Ilam","Razavi Khorasan","Sistan and Baluchestan","Yazd","South Khorasan","Kerman","North Khorasan"
2020-03-14,"Region 1",32,347,17,134,47,0,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-14,"Region 2",NA,NA,NA,NA,NA,NA,NA,155,11,0,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-14,"Region 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,33,59,31,5,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-14,"Region 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,7,48,8,2,6,NA,NA,NA,NA,NA,NA
2020-03-14,"Region 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,2,73,4,0,1
2020-03-15,"Region 1",84,251,72,67,41,25,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-15,"Region 2",NA,NA,NA,NA,NA,NA,NA,126,9,7,1,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-15,"Region 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,0,36,18,27,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-15,"Region 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11,32,13,52,18,NA,NA,NA,NA,NA,NA
2020-03-15,"Region 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,6,36,18,7,6
2020-03-16,"Region 1",19,200,96,49,34,42,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
